Fecha	temperatura	radiacion	humedad relativa	precipitacion	velocidad viento	mojadura	direccion viento
2022-09-16	16.5	522.9	79	0.0	7.7	0	202.8
2022-09-16	16.4	309.7	80	0.0	5.7	0	211.4
2022-09-16	16.7	602.6	79	0.0	8.3	0	224.1
2022-09-16	17.2	761.4	76	0.0	10.7	0	169.6
2022-09-16	17.3	883.4	76	0.0	10.2	0	233.8
2022-09-16	17.9	566.8	74	0.0	7.1	0	96.1
2022-09-16	18.2	713.1	75	0.0	6.1	0	322.6
2022-09-16	17.9	525.2	74	0.0	12.8	0	227.6
2022-09-16	18.6	608.3	70	0.0	11.4	0	190.4
2022-09-16	18.8	969.9	69	0.0	12.0	0	193.1
2022-09-16	19.1	940.6	68	0.0	16.9	0	209.4
2022-09-16	19.6	834.9	68	0.0	9.7	0	256.2
2022-09-16	19.3	479.1	68	0.0	13.3	0	220.4
2022-09-16	18.9	583.4	68	0.0	12.3	0	236.5
2022-09-16	19.3	608.4	68	0.0	12.6	0	242.9
2022-09-16	18.6	363.2	71	0.0	14.3	0	211.5
2022-09-16	18.7	381.2	73	0.0	11.4	0	206.8
2022-09-16	18.2	157.9	77	0.0	6.6	0	184.5
2022-09-16	17.7	450.8	83	0.0	8.3	0	256.7
2022-09-16	18.7	610.4	79	0.0	11.8	0	249.1
